,0,1,2,3,4,5
94470,1378590,"Bridgeline Digital, Inc.",10-Q,2018-02-14,edgar/data/1378590/0001437749-18-002589.txt,edgar/data/1378590/0001437749-18-002589-index.html
94534,1378718,"Wesco Aircraft Holdings, Inc",10-Q,2018-02-09,edgar/data/1378718/0001378718-18-000008.txt,edgar/data/1378718/0001378718-18-000008-index.html
94782,1378992,BERRY GLOBAL GROUP INC,10-Q,2018-02-07,edgar/data/1378992/0001378992-18-000009.txt,edgar/data/1378992/0001378992-18-000009-index.html
94811,1379006,"NANOVIRICIDES, INC.",10-Q,2018-02-20,edgar/data/1379006/0001144204-18-009768.txt,edgar/data/1379006/0001144204-18-009768-index.html
95494,1381668,TFS Financial CORP,10-Q,2018-02-08,edgar/data/1381668/0001381668-18-000027.txt,edgar/data/1381668/0001381668-18-000027-index.html
95541,1381871,"US Highland, Inc.",10-Q,2018-02-13,edgar/data/1381871/0001477932-18-000788.txt,edgar/data/1381871/0001477932-18-000788-index.html
95542,1381871,"US Highland, Inc.",10-Q,2018-02-13,edgar/data/1381871/0001477932-18-000791.txt,edgar/data/1381871/0001477932-18-000791-index.html
95543,1381871,"US Highland, Inc.",10-Q,2018-02-13,edgar/data/1381871/0001477932-18-000793.txt,edgar/data/1381871/0001477932-18-000793-index.html
95544,1381871,"US Highland, Inc.",10-Q,2018-02-15,edgar/data/1381871/0001477932-18-000882.txt,edgar/data/1381871/0001477932-18-000882-index.html
95577,1382230,"ESSA Bancorp, Inc.",10-Q,2018-02-09,edgar/data/1382230/0001564590-18-001751.txt,edgar/data/1382230/0001564590-18-001751-index.html
95602,1382231,Fortem Resources Inc.,10-Q,2018-01-31,edgar/data/1382231/0001511164-18-000059.txt,edgar/data/1382231/0001511164-18-000059-index.html
95892,1383312,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",10-Q,2018-02-08,edgar/data/1383312/0001383312-18-000007.txt,edgar/data/1383312/0001383312-18-000007-index.html
95964,1383414,PENNANTPARK INVESTMENT CORP,10-Q,2018-02-07,edgar/data/1383414/0001564590-18-001515.txt,edgar/data/1383414/0001564590-18-001515-index.html
96321,1385157,TE Connectivity Ltd.,10-Q,2018-01-24,edgar/data/1385157/0001047469-18-000394.txt,edgar/data/1385157/0001047469-18-000394-index.html
96457,1385329,"Creative Waste Solutions, Inc.",10-Q,2018-02-20,edgar/data/1385329/0001477932-18-000942.txt,edgar/data/1385329/0001477932-18-000942-index.html
96565,1385799,Advanced Biomedical Technologies Inc.,10-Q,2018-03-26,edgar/data/1385799/0001493152-18-003852.txt,edgar/data/1385799/0001493152-18-003852-index.html
96570,1385818,"AYTU BIOSCIENCE, INC",10-Q,2018-02-08,edgar/data/1385818/0001213900-18-001446.txt,edgar/data/1385818/0001213900-18-001446-index.html
96821,1386301,"Research Solutions, Inc.",10-Q,2018-02-14,edgar/data/1386301/0001144204-18-008924.txt,edgar/data/1386301/0001144204-18-008924-index.html
97046,1387467,ALPHA & OMEGA SEMICONDUCTOR Ltd,10-Q,2018-02-08,edgar/data/1387467/0001387467-18-000006.txt,edgar/data/1387467/0001387467-18-000006-index.html
97172,1387976,"Consorteum Holdings, Inc.",10-Q,2018-02-20,edgar/data/1387976/0001683168-18-000452.txt,edgar/data/1387976/0001683168-18-000452-index.html
98390,1392363,"China Advanced Construction Materials Group, Inc",10-Q,2018-02-13,edgar/data/1392363/0001062993-18-000689.txt,edgar/data/1392363/0001062993-18-000689-index.html
98486,1392694,"Surge Holdings, Inc.",10-Q,2018-01-02,edgar/data/1392694/0001493152-18-000030.txt,edgar/data/1392694/0001493152-18-000030-index.html
98487,1392694,"Surge Holdings, Inc.",10-Q,2018-01-04,edgar/data/1392694/0001493152-18-000123.txt,edgar/data/1392694/0001493152-18-000123-index.html
98488,1392694,"Surge Holdings, Inc.",10-Q,2018-01-08,edgar/data/1392694/0001493152-18-000304.txt,edgar/data/1392694/0001493152-18-000304-index.html
99151,1394638,CREATIVE LEARNING Corp,10-Q,2018-02-15,edgar/data/1394638/0001615774-18-001250.txt,edgar/data/1394638/0001615774-18-001250-index.html
99919,1397016,Optex Systems Holdings Inc,10-Q,2018-02-14,edgar/data/1397016/0001615774-18-001168.txt,edgar/data/1397016/0001615774-18-001168-index.html
100558,1399306,Simlatus Corp,10-Q,2018-02-20,edgar/data/1399306/0001399306-18-000007.txt,edgar/data/1399306/0001399306-18-000007-index.html
100687,1399855,"National American University Holdings, Inc.",10-Q,2018-01-05,edgar/data/1399855/0001654954-18-000142.txt,edgar/data/1399855/0001654954-18-000142-index.html
101107,1401835,Star Gold Corp.,10-Q,2018-03-21,edgar/data/1401835/0001401835-18-000019.txt,edgar/data/1401835/0001401835-18-000019-index.html
101426,1403161,VISA INC.,10-Q,2018-02-01,edgar/data/1403161/0001403161-18-000009.txt,edgar/data/1403161/0001403161-18-000009-index.html
101796,1404079,Samson Oil & Gas LTD,10-Q,2018-02-14,edgar/data/1404079/0001144204-18-008878.txt,edgar/data/1404079/0001144204-18-008878-index.html
101804,1404280,STEELE OCEANIC CORP,10-Q,2018-01-31,edgar/data/1404280/0001445866-18-000133.txt,edgar/data/1404280/0001445866-18-000133-index.html
102001,1404943,"MetaStat, Inc.",10-Q,2018-01-16,edgar/data/1404943/0001654954-18-000434.txt,edgar/data/1404943/0001654954-18-000434-index.html
102203,1405660,Alternative Investment Corp,10-Q,2018-02-21,edgar/data/1405660/0001515971-18-000025.txt,edgar/data/1405660/0001515971-18-000025-index.html
102206,1405663,I-Minerals Inc,10-Q,2018-03-15,edgar/data/1405663/0001472375-18-000023.txt,edgar/data/1405663/0001472375-18-000023-index.html
102536,1407583,Bunker Hill Mining Corp.,10-Q,2018-02-21,edgar/data/1407583/0001052918-18-000040.txt,edgar/data/1407583/0001052918-18-000040-index.html
102579,1407704,"LINGERIE FIGHTING CHAMPIONSHIPS, INC.",10-Q,2018-01-25,edgar/data/1407704/0001640334-18-000181.txt,edgar/data/1407704/0001640334-18-000181-index.html
102580,1407704,"LINGERIE FIGHTING CHAMPIONSHIPS, INC.",10-Q,2018-03-05,edgar/data/1407704/0001640334-18-000430.txt,edgar/data/1407704/0001640334-18-000430-index.html
102875,1408710,Fabrinet,10-Q,2018-02-07,edgar/data/1408710/0001193125-18-033890.txt,edgar/data/1408710/0001193125-18-033890-index.html
102976,1409175,"WECONNECT Tech International, Inc.",10-Q,2018-03-15,edgar/data/1409175/0001683168-18-000674.txt,edgar/data/1409175/0001683168-18-000674-index.html
102977,1409197,"Bespoke Extracts, Inc.",10-Q,2018-01-22,edgar/data/1409197/0001213900-18-000747.txt,edgar/data/1409197/0001213900-18-000747-index.html
103024,1409375,"ORION ENERGY SYSTEMS, INC.",10-Q,2018-02-07,edgar/data/1409375/0001409375-18-000007.txt,edgar/data/1409375/0001409375-18-000007-index.html
103044,1409446,Nate's Food Co.,10-Q,2018-02-21,edgar/data/1409446/0001640334-18-000385.txt,edgar/data/1409446/0001640334-18-000385-index.html
103828,1410738,Voip-pal.com Inc,10-Q,2018-02-14,edgar/data/1410738/0001580695-18-000097.txt,edgar/data/1410738/0001580695-18-000097-index.html
104169,1411685,"VistaGen Therapeutics, Inc.",10-Q,2018-02-12,edgar/data/1411685/0001654954-18-001360.txt,edgar/data/1411685/0001654954-18-001360-index.html
104189,1411688,"Container Store Group, Inc.",10-Q,2018-02-07,edgar/data/1411688/0001104659-18-007002.txt,edgar/data/1411688/0001104659-18-007002-index.html
104357,1412126,RemSleep Holdings Inc.,10-Q,2018-02-06,edgar/data/1412126/0001078782-18-000095.txt,edgar/data/1412126/0001078782-18-000095-index.html
104479,1412659,"Regenicin, Inc.",10-Q,2018-02-20,edgar/data/1412659/0001662252-18-000034.txt,edgar/data/1412659/0001662252-18-000034-index.html
104577,1413263,"CHINA JO-JO DRUGSTORES, INC.",10-Q,2018-02-14,edgar/data/1413263/0001213900-18-001859.txt,edgar/data/1413263/0001213900-18-001859-index.html
104718,1413488,MICROCHANNEL TECHNOLOGIES CORP,10-Q,2018-01-26,edgar/data/1413488/0001017386-18-000013.txt,edgar/data/1413488/0001017386-18-000013-index.html
104719,1413488,MICROCHANNEL TECHNOLOGIES CORP,10-Q,2018-01-26,edgar/data/1413488/0001017386-18-000014.txt,edgar/data/1413488/0001017386-18-000014-index.html
104720,1413488,MICROCHANNEL TECHNOLOGIES CORP,10-Q,2018-01-26,edgar/data/1413488/0001017386-18-000015.txt,edgar/data/1413488/0001017386-18-000015-index.html
104721,1413488,MICROCHANNEL TECHNOLOGIES CORP,10-Q,2018-02-16,edgar/data/1413488/0001017386-18-000035.txt,edgar/data/1413488/0001017386-18-000035-index.html
104722,1413488,MICROCHANNEL TECHNOLOGIES CORP,10-Q,2018-02-16,edgar/data/1413488/0001017386-18-000036.txt,edgar/data/1413488/0001017386-18-000036-index.html
104723,1413488,MICROCHANNEL TECHNOLOGIES CORP,10-Q,2018-02-16,edgar/data/1413488/0001017386-18-000037.txt,edgar/data/1413488/0001017386-18-000037-index.html
104724,1413488,MICROCHANNEL TECHNOLOGIES CORP,10-Q,2018-03-02,edgar/data/1413488/0001017386-18-000051.txt,edgar/data/1413488/0001017386-18-000051-index.html
104753,1413547,"Writ Media Group, Inc.",10-Q,2018-03-12,edgar/data/1413547/0001477932-18-001206.txt,edgar/data/1413547/0001477932-18-001206-index.html
104878,1413891,"Spectrum Global Solutions, Inc.",10-Q,2018-01-22,edgar/data/1413891/0001213900-18-000772.txt,edgar/data/1413891/0001213900-18-000772-index.html
105018,1414382,Concrete Leveling Systems Inc,10-Q,2018-03-15,edgar/data/1414382/0001165527-18-000041.txt,edgar/data/1414382/0001165527-18-000041-index.html
105059,1414628,"MoneyOnMobile, Inc.",10-Q,2018-02-20,edgar/data/1414628/0001414628-18-000019.txt,edgar/data/1414628/0001414628-18-000019-index.html
105092,1414767,ValueSetters Inc.,10-Q,2018-03-19,edgar/data/1414767/0001721868-18-000190.txt,edgar/data/1414767/0001721868-18-000190-index.html
105107,1414932,Oaktree Specialty Lending Corp,10-Q,2018-02-08,edgar/data/1414932/0001414932-18-000004.txt,edgar/data/1414932/0001414932-18-000004-index.html
105347,1415744,NORTHERN MINERALS & EXPLORATION LTD.,10-Q,2018-01-12,edgar/data/1415744/0001213900-18-000435.txt,edgar/data/1415744/0001213900-18-000435-index.html
105348,1415744,NORTHERN MINERALS & EXPLORATION LTD.,10-Q,2018-02-02,edgar/data/1415744/0001213900-18-001190.txt,edgar/data/1415744/0001213900-18-001190-index.html
105349,1415744,NORTHERN MINERALS & EXPLORATION LTD.,10-Q,2018-02-09,edgar/data/1415744/0001213900-18-001504.txt,edgar/data/1415744/0001213900-18-001504-index.html
105803,1417398,"Hillenbrand, Inc.",10-Q,2018-01-31,edgar/data/1417398/0001417398-18-000013.txt,edgar/data/1417398/0001417398-18-000013-index.html
105896,14177,BRIDGFORD FOODS CORP,10-Q,2018-03-09,edgar/data/14177/0001493152-18-003182.txt,edgar/data/14177/0001493152-18-003182-index.html
106026,1418100,Avaya Holdings Corp.,10-Q,2018-03-02,edgar/data/1418100/0001418100-18-000074.txt,edgar/data/1418100/0001418100-18-000074-index.html
106566,1419556,"AFH Acquisition IX, Inc.",10-Q,2018-03-15,edgar/data/1419556/0001607062-18-000080.txt,edgar/data/1419556/0001607062-18-000080-index.html
106585,14195,BRIGGS & STRATTON CORP,10-Q,2018-02-05,edgar/data/14195/0000014195-18-000008.txt,edgar/data/14195/0000014195-18-000008-index.html
107958,1420720,"iBio, Inc.",10-Q,2018-02-14,edgar/data/1420720/0001144204-18-009023.txt,edgar/data/1420720/0001144204-18-009023-index.html
108442,1422768,Almost Never Films Inc.,10-Q,2018-02-20,edgar/data/1422768/0001640334-18-000365.txt,edgar/data/1422768/0001640334-18-000365-index.html
108744,1422892,"Sino-Global Shipping America, Ltd.",10-Q,2018-02-13,edgar/data/1422892/0001213900-18-001728.txt,edgar/data/1422892/0001213900-18-001728-index.html
108807,1423221,Quanex Building Products CORP,10-Q,2018-03-06,edgar/data/1423221/0001423221-18-000003.txt,edgar/data/1423221/0001423221-18-000003-index.html
109226,1424404,Wolverine Technologies Corp.,10-Q,2018-01-23,edgar/data/1424404/0001062993-18-000279.txt,edgar/data/1424404/0001062993-18-000279-index.html
109227,1424404,Wolverine Technologies Corp.,10-Q,2018-02-08,edgar/data/1424404/0001062993-18-000508.txt,edgar/data/1424404/0001062993-18-000508-index.html
109325,1424844,"SOUTHWEST IOWA RENEWABLE ENERGY, LLC",10-Q,2018-02-08,edgar/data/1424844/0001424844-18-000002.txt,edgar/data/1424844/0001424844-18-000002-index.html
109336,1424864,Rise Gold Corp.,10-Q,2018-03-16,edgar/data/1424864/0001273511-18-000006.txt,edgar/data/1424864/0001273511-18-000006-index.html
110199,1428389,"Blox, Inc.",10-Q,2018-02-13,edgar/data/1428389/0001273511-18-000003.txt,edgar/data/1428389/0001273511-18-000003-index.html
110360,1428816,"Epoxy, Inc.",10-Q,2018-02-22,edgar/data/1428816/0001594062-18-000044.txt,edgar/data/1428816/0001594062-18-000044-index.html
110361,1428816,"Epoxy, Inc.",10-Q,2018-02-26,edgar/data/1428816/0001594062-18-000046.txt,edgar/data/1428816/0001594062-18-000046-index.html
110362,1428816,"Epoxy, Inc.",10-Q,2018-03-05,edgar/data/1428816/0001594062-18-000049.txt,edgar/data/1428816/0001594062-18-000049-index.html
110579,1429896,"ACTIVECARE, INC.",10-Q,2018-01-31,edgar/data/1429896/0001096906-18-000055.txt,edgar/data/1429896/0001096906-18-000055-index.html
111492,1433642,Hamilton Lane INC,10-Q,2018-02-09,edgar/data/1433642/0001433642-18-000004.txt,edgar/data/1433642/0001433642-18-000004-index.html
111624,1433994,CurrencyShares Singapore Dollar Trust,10-Q,2018-03-12,edgar/data/1433994/0001193125-18-079413.txt,edgar/data/1433994/0001193125-18-079413-index.html
111639,1434110,PLEDGE PETROLEUM CORP,10-Q,2018-02-12,edgar/data/1434110/0001144204-18-007386.txt,edgar/data/1434110/0001144204-18-007386-index.html
111755,1434601,MUSIC OF YOUR LIFE INC,10-Q,2018-01-22,edgar/data/1434601/0001391609-18-000014.txt,edgar/data/1434601/0001391609-18-000014-index.html
111873,1434674,CHINA MEDIA INC.,10-Q,2018-02-08,edgar/data/1434674/0001549727-18-000006.txt,edgar/data/1434674/0001549727-18-000006-index.html
112092,1435064,CEMTREX INC,10-Q,2018-02-14,edgar/data/1435064/0001493152-18-002159.txt,edgar/data/1435064/0001493152-18-002159-index.html
112147,1435387,Discovery Energy Corp.,10-Q,2018-01-16,edgar/data/1435387/0001144204-18-002252.txt,edgar/data/1435387/0001144204-18-002252-index.html
112160,1435508,First Savings Financial Group Inc,10-Q,2018-02-09,edgar/data/1435508/0001144204-18-006908.txt,edgar/data/1435508/0001144204-18-006908-index.html
112668,1437491,"Ecoark Holdings, Inc.",10-Q,2018-02-09,edgar/data/1437491/0001213900-18-001513.txt,edgar/data/1437491/0001213900-18-001513-index.html
112825,1437822,ETERNITY HEALTHCARE INC.,10-Q,2018-01-10,edgar/data/1437822/0001213900-18-000324.txt,edgar/data/1437822/0001213900-18-000324-index.html
112826,1437822,ETERNITY HEALTHCARE INC.,10-Q,2018-03-19,edgar/data/1437822/0001213900-18-003157.txt,edgar/data/1437822/0001213900-18-003157-index.html
112852,1437925,"Golden Matrix Group, Inc.",10-Q,2018-03-13,edgar/data/1437925/0001477932-18-001230.txt,edgar/data/1437925/0001477932-18-001230-index.html
112873,1438095,Ultimate Products CORP,10-Q,2018-02-14,edgar/data/1438095/0001078782-18-000155.txt,edgar/data/1438095/0001078782-18-000155-index.html
113015,1438461,Yinfu Gold Corp.,10-Q,2018-02-13,edgar/data/1438461/0001640334-18-000297.txt,edgar/data/1438461/0001640334-18-000297-index.html
113077,1438731,ALJ REGIONAL HOLDINGS INC,10-Q,2018-02-14,edgar/data/1438731/0001564590-18-002068.txt,edgar/data/1438731/0001564590-18-002068-index.html
113123,1438943,"Vitality Biopharma, Inc.",10-Q,2018-02-14,edgar/data/1438943/0001493152-18-002127.txt,edgar/data/1438943/0001493152-18-002127-index.html
113338,1439288,Rexnord Corp,10-Q,2018-01-31,edgar/data/1439288/0001439288-18-000006.txt,edgar/data/1439288/0001439288-18-000006-index.html
113528,1440024,"Roadrunner Transportation Systems, Inc.",10-Q,2018-03-30,edgar/data/1440024/0001440024-18-000027.txt,edgar/data/1440024/0001440024-18-000027-index.html
113529,1440024,"Roadrunner Transportation Systems, Inc.",10-Q,2018-03-30,edgar/data/1440024/0001440024-18-000028.txt,edgar/data/1440024/0001440024-18-000028-index.html
113530,1440024,"Roadrunner Transportation Systems, Inc.",10-Q,2018-03-30,edgar/data/1440024/0001440024-18-000031.txt,edgar/data/1440024/0001440024-18-000031-index.html
113562,1440153,"Bakhu Holdings, Corp.",10-Q,2018-03-07,edgar/data/1440153/0001477932-18-001150.txt,edgar/data/1440153/0001477932-18-001150-index.html
113628,1440799,MMEX Resources Corp,10-Q,2018-03-09,edgar/data/1440799/0001477932-18-001195.txt,edgar/data/1440799/0001477932-18-001195-index.html
113703,1441082,Lake Forest Minerals Inc.,10-Q,2018-02-02,edgar/data/1441082/0001165527-18-000015.txt,edgar/data/1441082/0001165527-18-000015-index.html
113895,1441769,DIRECTVIEW HOLDINGS INC,10-Q,2018-01-16,edgar/data/1441769/0001493152-18-000543.txt,edgar/data/1441769/0001493152-18-000543-index.html
113896,1441769,DIRECTVIEW HOLDINGS INC,10-Q,2018-01-25,edgar/data/1441769/0001493152-18-001002.txt,edgar/data/1441769/0001493152-18-001002-index.html
114079,1442492,"Laredo Oil, Inc.",10-Q,2018-01-16,edgar/data/1442492/0001654954-18-000427.txt,edgar/data/1442492/0001654954-18-000427-index.html
114138,1442711,CYCLONE POWER TECHNOLOGIES INC,10-Q,2018-01-08,edgar/data/1442711/0001493152-18-000320.txt,edgar/data/1442711/0001493152-18-000320-index.html
114291,1443646,Booz Allen Hamilton Holding Corp,10-Q,2018-02-05,edgar/data/1443646/0001443646-18-000018.txt,edgar/data/1443646/0001443646-18-000018-index.html
114454,1444307,ONCOSEC MEDICAL Inc,10-Q,2018-03-09,edgar/data/1444307/0001493152-18-003167.txt,edgar/data/1444307/0001493152-18-003167-index.html
114534,1444403,CODE GREEN APPAREL CORP,10-Q,2018-01-12,edgar/data/1444403/0001580695-18-000035.txt,edgar/data/1444403/0001580695-18-000035-index.html
114684,1445175,"Highlight Networks, Inc.",10-Q,2018-02-21,edgar/data/1445175/0001659173-18-000095.txt,edgar/data/1445175/0001659173-18-000095-index.html
114764,1445541,TOA Distribution Systems Inc.,10-Q,2018-02-07,edgar/data/1445541/0001552781-18-000090.txt,edgar/data/1445541/0001552781-18-000090-index.html
114788,1445831,JUDO Capital Corp.,10-Q,2018-03-21,edgar/data/1445831/0001017386-18-000062.txt,edgar/data/1445831/0001017386-18-000062-index.html
114809,1445942,Texas Mineral Resources Corp.,10-Q,2018-01-16,edgar/data/1445942/0001580695-18-000041.txt,edgar/data/1445942/0001580695-18-000041-index.html
114828,1446152,"SAUER ENERGY, INC.",10-Q,2018-01-22,edgar/data/1446152/0001446152-18-000008.txt,edgar/data/1446152/0001446152-18-000008-index.html
115239,1448056,"NEW RELIC, INC.",10-Q,2018-02-07,edgar/data/1448056/0001448056-18-000007.txt,edgar/data/1448056/0001448056-18-000007-index.html
115293,1448301,Anchor Bancorp,10-Q,2018-02-05,edgar/data/1448301/0000939057-18-000041.txt,edgar/data/1448301/0000939057-18-000041-index.html
115356,1448705,"PayMeOn, Inc.",10-Q,2018-01-26,edgar/data/1448705/0001553350-18-000078.txt,edgar/data/1448705/0001553350-18-000078-index.html
115491,1449447,"ENTEST BIOMEDICAL, INC.",10-Q,2018-01-10,edgar/data/1449447/0001607062-18-000010.txt,edgar/data/1449447/0001607062-18-000010-index.html
115899,1451448,"ESPORTS ENTERTAINMENT GROUP, INC.",10-Q,2018-03-14,edgar/data/1451448/0001469709-18-000035.txt,edgar/data/1451448/0001469709-18-000035-index.html
116167,1452804,"PEAK PHARMACEUTICALS, INC.",10-Q,2018-02-15,edgar/data/1452804/0001199835-18-000008.txt,edgar/data/1452804/0001199835-18-000008-index.html
116350,1453099,CEREBAIN BIOTECH CORP.,10-Q,2018-02-06,edgar/data/1453099/0001477932-18-000653.txt,edgar/data/1453099/0001477932-18-000653-index.html
116362,1453122,"3DX Industries, Inc.",10-Q,2018-01-17,edgar/data/1453122/0001594062-18-000009.txt,edgar/data/1453122/0001594062-18-000009-index.html
116363,1453122,"3DX Industries, Inc.",10-Q,2018-01-17,edgar/data/1453122/0001594062-18-000010.txt,edgar/data/1453122/0001594062-18-000010-index.html
116364,1453122,"3DX Industries, Inc.",10-Q,2018-01-17,edgar/data/1453122/0001594062-18-000011.txt,edgar/data/1453122/0001594062-18-000011-index.html
116365,1453122,"3DX Industries, Inc.",10-Q,2018-01-17,edgar/data/1453122/0001594062-18-000013.txt,edgar/data/1453122/0001594062-18-000013-index.html
117709,1459287,"Essense Water, Inc.",10-Q,2018-01-19,edgar/data/1459287/0001459287-18-000002.txt,edgar/data/1459287/0001459287-18-000002-index.html
117757,1459482,"Chineseinvestors.com, Inc.",10-Q,2018-01-16,edgar/data/1459482/0001683168-18-000141.txt,edgar/data/1459482/0001683168-18-000141-index.html
118162,1462047,PRIME GLOBAL CAPITAL GROUP Inc,10-Q,2018-03-20,edgar/data/1462047/0001683168-18-000726.txt,edgar/data/1462047/0001683168-18-000726-index.html
118205,1462223,"Truli Media Group, Inc.",10-Q,2018-02-20,edgar/data/1462223/0001213900-18-002119.txt,edgar/data/1462223/0001213900-18-002119-index.html
118571,1463792,"Gold Torrent, Inc.",10-Q,2018-02-14,edgar/data/1463792/0001493152-18-002164.txt,edgar/data/1463792/0001493152-18-002164-index.html
119093,1465470,NaturalShrimp Inc,10-Q,2018-02-14,edgar/data/1465470/0001654954-18-001554.txt,edgar/data/1465470/0001654954-18-001554-index.html
119703,1467373,Accenture plc,10-Q,2018-03-22,edgar/data/1467373/0001467373-18-000142.txt,edgar/data/1467373/0001467373-18-000142-index.html
120268,1468679,AMERICAN CRYOSTEM Corp,10-Q,2018-02-14,edgar/data/1468679/0001019056-18-000336.txt,edgar/data/1468679/0001019056-18-000336-index.html
120438,1469207,"Smartag International, Inc.",10-Q,2018-02-14,edgar/data/1469207/0001308411-18-000018.txt,edgar/data/1469207/0001308411-18-000018-index.html
120519,1469372,MSG NETWORKS INC.,10-Q,2018-02-01,edgar/data/1469372/0001469372-18-000004.txt,edgar/data/1469372/0001469372-18-000004-index.html
120567,14693,BROWN FORMAN CORP,10-Q,2018-03-07,edgar/data/14693/0000014693-18-000016.txt,edgar/data/14693/0000014693-18-000016-index.html
120835,1470550,INTERNATIONAL LEADERS CAPITAL Corp,10-Q,2018-02-14,edgar/data/1470550/0001262463-18-000035.txt,edgar/data/1470550/0001262463-18-000035-index.html
121077,1471727,"Sport Endurance, Inc.",10-Q,2018-01-18,edgar/data/1471727/0001185185-18-000079.txt,edgar/data/1471727/0001185185-18-000079-index.html
121149,1471968,EnzymeBioSystems,10-Q,2018-02-21,edgar/data/1471968/0001493152-18-002385.txt,edgar/data/1471968/0001493152-18-002385-index.html
121353,1472468,"XIANGTIAN (USA) AIR POWER CO., LTD.",10-Q,2018-03-19,edgar/data/1472468/0001062993-18-001250.txt,edgar/data/1472468/0001062993-18-001250-index.html
121550,1473490,"Wall Street Media Co, Inc.",10-Q,2018-02-08,edgar/data/1473490/0001493152-18-001632.txt,edgar/data/1473490/0001493152-18-001632-index.html
121888,1474439,"Telenav, Inc.",10-Q,2018-02-08,edgar/data/1474439/0001474439-18-000011.txt,edgar/data/1474439/0001474439-18-000011-index.html
122591,1476765,"GOLUB CAPITAL BDC, Inc.",10-Q,2018-02-07,edgar/data/1476765/0001476765-18-000015.txt,edgar/data/1476765/0001476765-18-000015-index.html
122701,1477246,S&W Seed Co,10-Q,2018-02-08,edgar/data/1477246/0001136261-18-000036.txt,edgar/data/1477246/0001136261-18-000036-index.html
123267,1478726,CHARTER FINANCIAL CORP,10-Q,2018-02-08,edgar/data/1478726/0001478726-18-000013.txt,edgar/data/1478726/0001478726-18-000013-index.html
123579,1479526,"China Modern Agricultural Information, Inc.",10-Q,2018-02-14,edgar/data/1479526/0001213900-18-001850.txt,edgar/data/1479526/0001213900-18-001850-index.html
123783,1481028,"Hypersolar, Inc.",10-Q,2018-02-12,edgar/data/1481028/0001213900-18-001594.txt,edgar/data/1481028/0001213900-18-001594-index.html
124121,1482554,"Photoamigo, Inc.",10-Q,2018-03-21,edgar/data/1482554/0001079973-18-000183.txt,edgar/data/1482554/0001079973-18-000183-index.html
124271,1483195,Oritani Financial Corp,10-Q,2018-02-09,edgar/data/1483195/0001483195-18-000002.txt,edgar/data/1483195/0001483195-18-000002-index.html
124659,14846,BRT Apartments Corp.,10-Q,2018-02-09,edgar/data/14846/0000014846-18-000013.txt,edgar/data/14846/0000014846-18-000013-index.html
125210,1487198,"ASPEN GROUP, INC.",10-Q,2018-03-15,edgar/data/1487198/0001553350-18-000217.txt,edgar/data/1487198/0001553350-18-000217-index.html
125428,1487730,"Spectrum Brands Holdings, Inc.",10-Q,2018-02-08,edgar/data/1487730/0001487730-18-000030.txt,edgar/data/1487730/0001487730-18-000030-index.html
125765,1488917,"Electromed, Inc.",10-Q,2018-02-13,edgar/data/1488917/0000897101-18-000121.txt,edgar/data/1488917/0000897101-18-000121-index.html
125785,1489096,"Thermon Group Holdings, Inc.",10-Q,2018-02-08,edgar/data/1489096/0001489096-18-000023.txt,edgar/data/1489096/0001489096-18-000023-index.html
125996,1490054,APPIPHANY TECHNOLOGIES HOLDINGS CORP,10-Q,2018-03-26,edgar/data/1490054/0001445866-18-000295.txt,edgar/data/1490054/0001445866-18-000295-index.html
126087,1490349,Medley Capital Corp,10-Q,2018-02-06,edgar/data/1490349/0001490349-18-000009.txt,edgar/data/1490349/0001490349-18-000009-index.html
126196,1490906,Capitol Federal Financial Inc,10-Q,2018-02-08,edgar/data/1490906/0001490906-18-000024.txt,edgar/data/1490906/0001490906-18-000024-index.html
126220,1490949,VinCompass Corp.,10-Q,2018-01-24,edgar/data/1490949/0001493152-18-000984.txt,edgar/data/1490949/0001493152-18-000984-index.html
126309,1491419,"LiveXLive Media, Inc.",10-Q,2018-02-14,edgar/data/1491419/0001213900-18-001893.txt,edgar/data/1491419/0001213900-18-001893-index.html
126937,1493174,"ECOSCIENCES, INC.",10-Q,2018-01-16,edgar/data/1493174/0001493152-18-000614.txt,edgar/data/1493174/0001493152-18-000614-index.html
127055,1493594,"MACOM Technology Solutions Holdings, Inc.",10-Q,2018-02-07,edgar/data/1493594/0001493594-18-000008.txt,edgar/data/1493594/0001493594-18-000008-index.html
127099,1493712,Cell MedX Corp.,10-Q,2018-01-16,edgar/data/1493712/0001393905-18-000016.txt,edgar/data/1493712/0001393905-18-000016-index.html
128026,1497055,"GroGenesis, Inc.",10-Q,2018-01-16,edgar/data/1497055/0001393905-18-000014.txt,edgar/data/1497055/0001393905-18-000014-index.html
128049,1497130,"Nano Mobile Healthcare, Inc.",10-Q,2018-03-16,edgar/data/1497130/0001213900-18-003060.txt,edgar/data/1497130/0001213900-18-003060-index.html
128060,1497253,"ORGANOVO HOLDINGS, INC.",10-Q,2018-02-08,edgar/data/1497253/0001564590-18-001682.txt,edgar/data/1497253/0001564590-18-001682-index.html
128195,1497649,Solar Quartz Technologies Corp,10-Q,2018-01-17,edgar/data/1497649/0001640334-18-000117.txt,edgar/data/1497649/0001640334-18-000117-index.html
128196,1497649,Solar Quartz Technologies Corp,10-Q,2018-01-17,edgar/data/1497649/0001640334-18-000120.txt,edgar/data/1497649/0001640334-18-000120-index.html
